seminar_id,title,date,year
01021,Semantics in Databases,January 7 – 12,2001
01041,Interoperability of Reengineering Tools,January 21 – 26,2001
01051,Computer Aided Design and Test - BDDs versus SAT,January 28 – February 2,2001
01081,Applications of Kleene Algebra,February 18 – 23,2001
01091,Algorithmic Techniques in Physics,February 25 – March 2,2001
01101,Deduction,March 4 – 9,2001
01111,Methodology of Evaluation in Computational Medical Imaging,March 11 – 16,2001
01121,Computational Geometry,March 18 – 23,2001
01141,Semantic Foundations of Proof-search,April 1 – 6,2001
01161,Product Family Development,April 16 – 20,2001
01191,Computational Cartography and Spatial Modelling,May 6 – 11,2001
01201,Algorithms and Number Theory,May 13 – 18,2001
01211,Software Visualization,May 20 – 25,2001
01221,Can Formal Methods Cope with Software-Intensive Systems?,May 27 – June 1,2001
01231,Design and Analysis of Randomized and Approximation Algorithms,June 3 – 8,2001
01241,Management of Metacomputers,June 10 – 15,2001
01242,Stochastic Methods in Rendering,June 10 – 15,2001
01251,Graph Decompositions and Algorithmic Applications,June 17 – 22,2001
01261,Information and Simulation Systems for the Analysis of Gene Regulation and Metabolic Pathways,June 24 – 29,2001
01271,Link Analysis and Visualization,July 1 – 6,2001
01301,Inference Principles and Model Selection,July 22 – 27,2001
01311,Parameterized Complexity,July 29 – August 3,2001
01341,Dependent Type Theory meets Practical Programming,August 19 – 24,2001
01361,Foundations of Semistructured Data,September 2 – 7,2001
01371,Ubiquitous Computing,September 9 – 14,2001
01381,Algorithmic Aspects of Large and Complex Networks,September 16 – 21,2001
01391,Specification and Analysis of Secure Cryptographic Protocols,September 23 – 28,2001
01411,Proof Theory in Computer Science,October 7 – 12,2001
01421,Integration of Algebra and Geometry Software Systems,October 14 – 19,2001
01431,Plan-based Control of Robotic Agents,October 21 – 26,2001
01441,Coordination and Fusion in Multimodal Interaction,October 28 – November 2,2001
01451,Exploration of Large State Spaces,November 4 – 9,2001
01461,Computability and Complexity in Analysis,November 11 – 16,2001
01491,Synchronous Languages,December 2 – 7,2001
02021,Content-Based Image and Video Retrieval,January 6 – 11,2002
02031,Theory of Evolutionary Algorithms,January 13 – 18,2002
02041,The Logic of Rational Agency,January 20 – 25,2002
02061,Rule Markup Techniques for the Semantic Web,February 3 – 8,2002
02071,Concepts and Applications of Programmable and Active Networking Technologies,February 13 – 15,2002
02081,Algorithmic Combinatorial Game Theory,February 17 – 22,2002
02091,Data Structures,February 24 – March 1,2002
02101,Theory and Application of Abstract State Machines,March 3 – 8,2002
02111,Concurrency and Dynamic Behaviour Modelling: Pragmatics & Semantics,March 10 – 15,2002
02121,Complexity of Boolean Functions,March 17 – 22,2002
02151,"Theoretical Foundations of Computer Vision -- Geometry, Morphology, and Computational Imaging",April 7 – 12,2002
02181,Information Integration,April 29 – May 3,2002
02201,Geometric Modelling,May 12 – 17,2002
02221,Mathematical Structures for Computable Topology and Geometry,May 26 – 31,2002
02231,Scheduling in Computer and Manufacturing Systems,June 2 – 7,2002
02241,Electronic Market Design,June 9 – 14,2002
02251,Approximation and Randomized Algorithms in Communication Networks,June 16 – 21,2002
02261,The Travelling Salesman Problem,June 23 – 28,2002
02271,Online Algorithms,June 30 – July 5,2002
02291,Aesthetic Computing,July 14 – 19,2002
02341,Performance Analysis and Distributed Computing,August 18 – 23,2002
02351,Grand Challenges for Modelling and Simulation,August 25 – 30,2002
02352,Formal Circuit Equivalence Verification,August 25 – 29,2002
02361,Supporting Customer-Supplier Relationships: Requirements Engineering and Quality Assurance,September 1 – 6,2002
02371,Experimental Algorithmics,September 8 – 13,2002
02381,"Nonmonotonic Reasoning, Answer Set Programming and Constraints",September 15 – 20,2002
02391,Cryptography,September 22 – 27,2002
02401,Algorithms and Complexity for Continuous Problems,September 29 – October 4,2002
02421,Algebraic Methods in Quantum and Classical Models of Computation,October 13 – 18,2002
02441,Quality of Service in Networks and Distributed Systems,October 27 – 31,2002
02451,Dependability of Component Based Systems,November 3 – 8,2002
02471,Computational Biology,November 17 – 22,2002
02481,Programming Multi Agent Systems based on Logic,November 24 – 29,2002
03021,Verification and Constructive Algebra,January 5 – 10,2003
03041,Numerical Software with Result Verification,January 19 – 24,2003
03051,Information and Process Integration: A Life Science Perspective,January 28 – 31,2003
03061,Software Architecture: Recovery and Modelling,February 2 – 7,2003
03071,Emerging Technologies: Can Optimization Technology meet their Demands?,February 9 – 14,2003
03081,"Objects, Agents and Features",February 16 – 21,2003
03091,Program Analysis for Object-Oriented Evolution,February 23 – 28,2003
03101,Reasoning about Shape,March 2 – 7,2003
03111,Challenges in High Performance Simulations for Science and Engineering,March 9 – 14,2003
03112,Multimedia Retrieval,March 10 – 13,2003
03121,Computational Geometry,March 16 – 21,2003
03131,Domain-Specific Program Generation,March 23 – 28,2003
03141,The Propositional Satisfiability Problem -- Algorithms and Lower Bounds,March 30 – April 4,2003
03151,Product Family Development,April 7 – 10,2003
03171,Deduction and Infinite-state Model Checking,April 21 – 25,2003
03181,Centennial Seminar on Kolmogorov Complexity and Applications,April 27 – May 2,2003
03191,Conceptual and Technical Aspects of Electronic Learning,May 4 – 9,2003
03201,Probabilistic Methods in Verification and Planning,May 11 – 16,2003
03211,Adaptivity in Parallel Scientific Computing,May 18 – 23,2003
03231,Scientific Visualization: Extracting Information and Knowledge from Scientific Data Sets,June 1 – 6,2003
03241,Inconsistency Tolerance,June 9 – 13,2003
03261,Plan-Based Control of Robotic Agents,June 22 – 27,2003
03271,Hierarchical Methods in Computer Graphics,June 29 – July 4,2003
03281,Embodied Artificial Intelligence,July 6 – 11,2003
03291,Algorithmic Game Theory and the Internet,July 13 – 18,2003
03301,Dynamically Reconfigurable Architectures,July 20 – 25,2003
03311,Fixed Parameter Algorithms,July 27 – August 1,2003
03321,Internet Economics,August 3 – 7,2003
03351,Software Optimization,August 26 – 29,2003
03361,Algorithmic Aspects of Large and Complex Networks,August 31 – September 5,2003
03362,Data Quality on the Web,August 31 – September 5,2003
03371,"Scenarios: Models, Transformations and Tools",September 7 – 12,2003
03381,New Optimization Algorithms in Physics,September 14 – 19,2003
03391,Graph Colorings,September 21 – 26,2003
03401,Computational Cartography and Spatial Modelling,September 28 – October 3,2003
03411,Language-Based Security,October 5 – 10,2003
03421,Theoretical and Computational Aspects of Matrix Algorithms,October 12 – 17,2003
03431,Hardware and Software Consistency Models: Programmability and Performance,October 19 – 24,2003
03441,Cognitive Vision Systems,October 26 – 31,2003
03451,Applied Deductive Verification,November 2 – 7,2003
03461,Software Intensive Embedded Systems - with Special Emphasis on Automotive,November 9 – 14,2003
03471,Design of Systems with Predictable Behaviour,November 16 – 19,2003
03481,"e-Accessibility - new Devices, new Technologies and new Challenges in the Information Society",November 23 – 27,2003
03491,Understanding Program Dynamics,November 30 – December 5,2003
03501,Robot Navigation,December 7 – 12,2003
04021,Content-Based Retrieval,January 4 – 9,2004
04041,Component-Based Modeling and Simulation,January 18 – 23,2004
04051,Empirical Theory and the Science of Software Engineering,January 25 – 29,2004
04061,Real Computation and Complexity,February 1 – 6,2004
04081,Theory of Evolutionary Algorithms,February 15 – 20,2004
04091,Data Structures,February 22 – 27,2004
04101,Language Engineering for Model-Driven Software Development,February 29 – March 5,2004
04111,Peer-to-Peer-systems and -Applications,March 7 – 10,2004
04121,Evaluating Embodied Conversational Agents,March 14 – 19,2004
04122,Wireless Sensor Networks and Applications,March 14 – 19,2004
04131,Geometric Properties from Incomplete Data,March 21 – 26,2004
04141,Complexity of Boolean Functions,March 28 – April 2,2004
04161,Detecting Local Patterns,April 12 – 16,2004
04171,Logic Based Information Agents,April 18 – 23,2004
04172,Visualization and Image Processing of Tensor Fields,April 18 – 23,2004
04181,Atomicity in System Design and Execution,April 25 – 30,2004
04201,Content Distribution Infrastructures,May 11 – 14,2004
04202,Perspectives Workshop: Quantum Computing,May 9 – 13,2004
04211,Algorithms and Number Theory,May 16 – 21,2004
04221,Robust and Approximative Algorithms on Particular Graph Classes,May 23 – 28,2004
04231,Scheduling in Computer and Manufacturing Systems,May 31 – June 4,2004
04241,Graph Transformations and Process Algebras for Modeling Distributed and Mobile Systems,June 6 – 11,2004
04251,Imaging Beyond the Pin-hole Camera. 12th Seminar on Theoretical Foundations of Computer Vision,June 13 – 18,2004
04261,Algorithmic Methods for Railway Optimization,June 20 – 25,2004
04271,"Preferences: Specification, Inference, Applications",June 27 – July 2,2004
04281,Integrative Bioinformatics - Aspects of the Virtual Cell,July 4 – 9,2004
04292,Perspectives Workshop: Data Mining: The Next Generation,July 11 – 16,2004
04301,Cache-Oblivious and Cache-Aware Algorithms,July 18 – 23,2004
04321,Data Warehousing at the Crossroads,August 1 – 6,2004
04351,Spatial Representation: Discrete vs. Continuous Computational Models,August 22 – 27,2004
04371,Perspectives of Model-Based Testing,September 5 – 10,2004
04381,Dependently Typed Programming,September 12 – 17,2004
04391,Semantic Interoperability and Integration,September 19 – 24,2004
04401,Algorithms and Complexity for Continuous Problems,September 26 – October 1,2004
04411,Service Management and Self-Organization in IP-based Networks,October 3 – 6,2004
04421,Algebraic Methods in Computational Complexity,October 10 – 15,2004
04431,Cognitive Networks and Radios,October 17 – 22,2004
04441,Mobile Information Management,October 24 – 29,2004
04451,Future Generation Grids - FGG 2004,November 1 – 5,2004
04461,Practical Approaches to Multi-Objective Optimization,November 7 – 12,2004
04491,Synchronous Programming - SYNCHRON\'04,November 28 – December 3,2004
04511,Architecting Systems with Trustworthy Components,December 12 – 17,2004
05011,Computing and Markets,January 3 – 7,2005
05021,"Mathematics, Algorithms, Proofs",January 9 – 14,2005
05031,Algorithms for Optimization with Incomplete Information,January 16 – 21,2005
05051,"Probabilistic, Logical and Relational Learning - Towards a Synthesis",January 30 – February 4,2005
05061,Foundations of Semistructured Data,February 6 – 11,2005
05071,Machine Learning for the Semantic Web,February 13 – 18,2005
05081,Foundations of Global Computing,February 20 – 25,2005
05091,Multimedia Research - where do we need to go tomorrow,March 1 – 4,2005
05101,"Scheduling for Parallel Architectures: Theory, Applications, Challenges",March 6 – 11,2005
05111,Computational Geometry,March 13 – 18,2005
05141,Power-aware Computing Systems,April 3 – 8,2005
05142,Disruption Tolerant Networking,April 3 – 6,2005
05151,"Annotating, Extracting and Reasoning about Time and Events",April 10 – 15,2005
05152,Peer-to-Peer Mobile Ad Hoc Networks - New Research Issues,April 9 – 12,2005
05161,Transformation Techniques in Software Engineering,April 17 – 22,2005
05171,"Nonmonotonic Reasoning, Answer Set Programming and Constraints",April 24 – 29,2005
05181,Mobile Computing and Ambient Intelligence: The Challenge of Multimedia,May 1 – 4,2005
05191,Graph Drawing,May 8 – 13,2005
05201,Design and Analysis of Randomized and Approximation Algorithms,May 15 – 20,2005
05221,Geometric Modeling,May 29 – June 3,2005
05231,Scientific Visualization: Challenges for the Future,June 5 – 10,2005
05241,Synthesis and Planning,June 12 – 17,2005
05251,Types for Tools: Applications of Type Theoretic Techniques,June 19 – 24,2005
05261,Multi-Version Program Analysis,June 26 – July 1,2005
05271,Semantic Grid: The Convergence of Technologies,July 3 – 8,2005
05281,Simulation & Scheduling: Companions or Competitors for Improving the Performance of Manufacturing Systems,July 10 – 15,2005
05291,Sublinear Algorithms,July 17 – 22,2005
05301,Exact Algorithms and Fixed-Parameter Tractability,July 24 – 29,2005
05311,Verifying Optimizing Compilers,July 31 – August 5,2005
05321,"Belief Change in Rational Agents: Perspectives from Artificial Intelligence, Philosophy, and Economics",August 7 – 12,2005
05361,Algorithmic Aspects of Large and Complex Networks,September 4 – 9,2005
05371,Principles and Practices of Semantic Web Reasoning,September 11 – 16,2005
05381,Form and Content in Sensor Networks,September 18 – 23,2005
05382,Efficient Text Entry,September 21 – 24,2005
05391,Algebraic and Numerical Algorithms and Computer-assisted Proofs,September 25 – 30,2005
05402,Challenges for Software Engineering Research,October 5 – 8,2005
05411,Anonymous Communication and its Applications,October 9 – 14,2005
05421,"Data Always and Everywhere - Management of Mobile, Ubiquitous, Pervasive, and Sensor Data",October 16 – 21,2005
05431,Deduction and Applications,October 23 – 28,2005
05441,Managing and Mining Genome Information: Frontiers in Bioinformatics,October 30 – November 4,2005
05451,Beyond Program Slicing,November 6 – 11,2005
05461,Perspektiv-Workshop zur theoretischen Informatik,November 14 – 16,2005
05462,Service Oriented Computing (SOC),November 15 – 18,2005
05471,Computational Proteomics,November 20 – 25,2005
05491,Spatial Cognition: Specialization and Integration,December 4 – 9,2005
05501,Automatic Performance Analysis,December 12 – 16,2005
06011,Autonomic Networking,January 3 – 6,2006
06021,Reliable Implementation of Real Number Algorithms: Theory and Practice,January 8 – 13,2006
06031,Organic Computing - Controlled Emergence,January 15 – 20,2006
06051,Kolmogorov Complexity and Applications,January 29 – February 3,2006
06061,Theory of Evolutionary Algorithms,February 5 – 10,2006
06071,Architectures and Algorithms for Petascale Computing,February 12 – 17,2006
06081,Software Verification: Infinite-State Model Checking and Static Program Analysis,February 19 – 24,2006
06091,Data Structures,February 26 – March 3,2006
06101,"Spatial Data: Mining, Processing and Communicating",March 5 – 10,2006
06111,Complexity of Boolean Functions,March 12 – 17,2006
06121,Atomicity: A Unifying Concept in Computer Science,March 19 – 24,2006
06131,Peer-to-Peer-Systems and -Applications,March 26 – 29,2006
06132,Internet Economics,March 28 – 31,2006
06141,Dynamically Reconfigurable Architectures,April 2 – 7,2006
06161,Simulation and Verification of Dynamic Systems,April 17 – 22,2006
06171,Content-Based Retrieval,April 23 – 28,2006
06172,Directed Model Checking,April 26 – 29,2006
06181,Latently-Typed Languages,May 1 – 6,2006
06191,Rigorous Methods for Software Construction and Analysis,May 7 – 12,2006
06201,Combinatorial and Algorithmic Foundations of Pattern and Association Discovery,May 14 – 19,2006
06221,"Computational Aesthetics in Graphics, Visualization and Imaging",May 28 – June 2,2006
06231,Towards Affordance-Based Robot Control,June 5 – 9,2006
06241,"Human Motion - Understanding, Modeling, Capture and Animation. 13th Workshop on Theoretical Foundations of Computer Vision",June 11 – 16,2006
06251,"Multi-Robot Systems: Perception, Behaviors, Learning, and Action",June 19 – 23,2006
06261,Foundations and Practice of Programming Multi-Agent Systems,June 25 – 30,2006
06262,Empirical Software Engineering,June 26 – 30,2006
06271,Challenges in Symbolic Computation Software,July 2 – 7,2006
06281,The Challenge of Software Verification,July 9 – 13,2006
06291,The Role of Business Processes in Service Oriented Architectures,July 16 – 21,2006
06301,"Duplication, Redundancy, and Similarity in Software",July 23 – 26,2006
06302,Aspects For Legacy Applications,July 26 – 29,2006
06311,Sensor Data and Information Fusion in Computer Vision and Medicine,July 30 – August 4,2006
06341,"Computational Structures for Modelling Space, Time and Causality",August 20 – 25,2006
06351,Methods for Modelling Software Systems (MMOSS),August 27 – September 1,2006
06361,Computing Media and Languages for Space-Oriented Computation,September 3 – 8,2006
06371,From Security to Dependability,September 10 – 15,2006
06381,Computer Science in Sport,September 17 – 20,2006
06391,Algorithms and Complexity for Continuous Problems,September 24 – 29,2006
06401,Complexity of Constraints,October 1 – 6,2006
06411,"Specification, Verification and Test of Open Systems",October 8 – 13,2006
06421,Robot Navigation,October 15 – 20,2006
06431,Scalable Data Management in Evolving Networks,October 22 – 27,2006
06441,Naming and Addressing for Next-Generation Internetworks,October 29 – November 1,2006
06451,"Circuits, Logic, and Games",November 8 – 10,2006
06461,Negotiation and Market Engineering,November 12 – 17,2006
06471,Quo vadis Informatik - Innovation dank Informatik,November 19 – 22,2006
06472,XQuery Implementation Paradigms,November 19 – 22,2006
06481,Geometric Networks and Metric Space Embeddings,November 26 – December 1,2006
06491,"Digital Historical Corpora - Architecture, Annotation, and Retrieval",December 3 – 8,2006
06501,Practical Approaches to Multi-Objective Optimization,December 10 – 15,2006
07011,Runtime Verification,January 2 – 6,2007
07021,Symmetric Cryptography,January 7 – 12,2007
07022,Visualization and Processing of Tensor Fields,January 9 – 13,2007
07031,Software Dependability Engineering,January 14 – 19,2007
07041,Power-aware Computing Systems,January 21 – 26,2007
07051,Programming Paradigms for the Web: Web Programming and Web Services,January 28 – February 2,2007
07061,Autonomous and Adaptive Web Services,February 4 – 9,2007
07071,Web Information Retrieval and Linear Algebra Algorithms,February 11 – 16,2007
07081,End-User Software Engineering,February 18 – 23,2007
07091,"Mobility, Ubiquity and Security",February 25 – March 2,2007
07101,Quantitative Aspects of Embedded Systems,March 4 – 9,2007
07111,Computational Geometry,March 11 – 16,2007
07112,"Cutting, Packing, Layout and Space Allocation",March 13 – 16,2007
07121,"Experimental Fluid Mechanics, Computer Vision & Pattern Recognition",March 18 – 23,2007
07122,Normative Multi-agent Systems,March 18 – 23,2007
07131,Similarity-based Clustering and its Application to Medicine and Biology,March 25 – 30,2007
07132,Towards Interoperability of Biomedical Ontologies,March 27 – 30,2007
07151,Geometry in Sensor Networks,April 9 – 13,2007
07161,"Probabilistic, Logical and Relational Learning - A Further Synthesis",April 15 – 20,2007
07171,Visual Computing - Convergence of Computer Graphics and Computer Vision,April 22 – 27,2007
07181,Parallel Universes and Local Patterns,May 1 – 4,2007
07191,Event Processing,May 6 – 11,2007
07211,"Exact, Approximative, Robust and Certifying Algorithms on Particular Graph Classes",May 20 – 25,2007
07212,"Constraint Databases, Geometric Elimination and Geographic Information Systems",May 20 – 25,2007
07221,"Information Visualization - Human-Centered Issues in Visual Representation, Interaction, and Evaluation",May 28 – June 1,2007
07241,"Tools for the Model-based Development of Certifiable, Dependable Systems",June 10 – 15,2007
07261,Fair Division,June 24 – 29,2007
07271,Computational Social Systems and the Internet,July 1 – 6,2007
07281,"Structure Theory and FPT Algorithmics for Graphs, Digraphs and Hypergraphs",July 8 – 13,2007
07291,Scientific Visualization,July 15 – 20,2007
07301,"Resilient and Survivable Networks, Infrastructure and Services",July 22 – 25,2007
07302,Autonomic Management of Networks and Services,July 25 – 28,2007
07311,Frontiers of Electronic Voting,July 29 – August 3,2007
07341,Code Instrumentation and Modeling for Parallel Performance Analysis,August 19 – 24,2007
07351,Formal Models of Belief Change in Rational Agents,August 26 – 30,2007
07361,Programming Models for Ubiquitous Parallelism,September 2 – 7,2007
07371,Mobile Interfaces Meet Cognitive Technologies,September 9 – 14,2007
07381,Cryptography,September 16 – 21,2007
07391,Probabilistic Methods in the Design and Analysis of Algorithms,September 23 – 28,2007
07401,Deduction and Decision Procedures,September 30 – October 5,2007
07411,Algebraic Methods in Computational Complexity,October 7 – 12,2007
07421,Formal Protocol Verification Applied,October 14 – 19,2007
07431,Computational Issues in Social Choice,October 21 – 26,2007
07441,Algorithmic-Logical Theory of Infinite Structures,October 28 – November 2,2007
07451,Model-Based Engineering of Embedded Real-Time Systems,November 4 – 9,2007
07461,Numerical Methods for Structured Markov Chains,November 11 – 14,2007
07462,"Assisted Living Systems \x96 Models, Architectures and Engineering Approaches",November 14 – 17,2007
07471,Equilibrium Computation,November 18 – 23,2007
07491,Mining Programs and Processes,December 2 – 7,2007
08021,Numerical Validation in Current Hardware Architectures,January 6 – 11,2008
08031,Software Engineering for Self-Adaptive Systems,January 13 – 18,2008
08041,"Recurrent Neural Networks - Models, Capacities, and Applications",January 20 – 25,2008
08042,Theory and Practice of Argumentation Systems,January 20 – 23,2008
08043,Telecommunication Economics,January 23 – 26,2008
08051,Theory of Evolutionary Algorithms,January 27 – February 1,2008
08061,"Types, Logics and Semantics for State",February 3 – 8,2008
08071,Scheduling,February 10 – 15,2008
08081,Data Structures,February 17 – 22,2008
08091,Logic and Probability for Scene Interpretation,February 24 – 29,2008
08101,Computational Proteomics,March 2 – 7,2008
08102,Network Attack Detection and Defense,March 2 – 6,2008
08111,Ranked XML Querying,March 9 – 14,2008
08131,Ontologies and Text Mining for Life Sciences: Current Status and Future Perspectives,March 24 – 28,2008
08141,Organic Computing - Controlled Self-organization,March 30 – April 4,2008
08142,Combining the Advantages of Product Lines and Open Source,April 2 – 5,2008
08161,Scalable Program Analysis,April 13 – 18,2008
08171,Beyond the Finite: New Challenges in Verification and Semistructured Data,April 20 – 25,2008
08181,The Evolution of Conceptual Modeling,April 27 – 30,2008
08191,Graph Drawing with Applications to Bioinformatics and Social Sciences,May 4 – 9,2008
08201,Design and Analysis of Randomized and Approximation Algorithms,May 11 – 16,2008
08221,Geometric Modeling,May 25 – 30,2008
08231,Virtual Realities,June 1 – 6,2008
08241,Transactional Memory: From Implementation to Application,June 8 – 13,2008
08242,End-to-End Protocols for the Future Internet,June 8 – 11,2008
08251,Contextual and Social Media Understanding and Usage,June 15 – 20,2008
08261,Structure-Based Compression of Complex Massive Data,June 22 – 27,2008
08271,Topological and Game-Theoretic Aspects of Infinite Computations,June 29 – July 4,2008
08281,Software Engineering for Tailor-made Data Management,July 6 – 11,2008
08291,Statistical and Geometrical Approaches to Visual Motion Analysis. 14th Workshop \x93Theoretic Foundations of Computer Vision\x94,July 13 – 18,2008
08292,The Study of Visual Aesthetics in Human-Computer Interaction,July 13 – 16,2008
08301,Group Testing in the Life Sciences,July 20 – 25,2008
08302,Countering Insider Threats,July 20 – 25,2008
08331,Model Engineering of Complex Systems (MECS),August 10 – 13,2008
08332,Distributed Verification and Grid Computing,August 10 – 14,2008
08341,Sublinear Algorithms,August 17 – 22,2008
08351,Evolutionary Test Generation,August 24 – 29,2008
08361,Programming Multi-Agent Systems,August 31 – September 5,2008
08371,Fault-Tolerant Distributed Algorithms on VLSI Chips,September 7 – 10,2008
08372,Computer Science in Sport - Mission and Methods,September 7 – 10,2008
08381,Computational Complexity of Discrete Problems,September 14 – 19,2008
08391,Social Web Communities,September 21 – 26,2008
08393,"Virtual games, interactive hosted services and user-generated content in Web 2.0",September 24 – 27,2008
08412,Science of Design: High-Impact Requirements for Software-Intensive Systems,October 8 – 11,2008
08421,Uncertainty Management in Information Systems,October 12 – 17,2008
08431,Moderately Exponential Time Algorithms,October 19 – 24,2008
08441,Emerging Uses and Paradigms for Dynamic Binary Translation,October 26 – 31,2008
08451,"Representation, Analysis and Visualization of Moving Objects",November 2 – 7,2008
08461,Planning in Multiagent Systems,November 9 – 14,2008
08471,Geographic Privacy-Aware Knowledge Discovery and Delivery,November 16 – 21,2008
08491,Theoretical Foundations of Practical Information Security,November 30 – December 5,2008
08492,Structured Decompositions and Efficient Algorithms,November 30 – December 5,2008
09021,Software Service Engineering,January 4 – 7,2009
09031,Symmetric Cryptography,January 11 – 16,2009
09041,Hybrid and Robust Approaches to Multiobjective Optimization,January 18 – 23,2009
09051,Knowledge representation for intelligent music processing,January 25 – 30,2009
09052,Management of the Future Internet,January 27 – 30,2009
09061,Combinatorial Scientific Computing,February 1 – 6,2009
09071,Delay and Disruption-Tolerant Networking (DTN) II,February 8 – 11,2009
09072,Bandwidth on Demand,February 8 – 11,2009
09073,Model-Based Design of Trustworthy Health Information Systems,February 11 – 14,2009
09081,Similarity-based learning on structures,February 15 – 20,2009
09082,The Future of Grid Computing,February 15 – 20,2009
09091,Formal Methods in Molecular Biology,February 22 – 27,2009
09101,Interactive Information Retrieval,March 1 – 6,2009
09102,Naming and Addressing in a Future Internet,March 1 – 4,2009
09111,Computational Geometry,March 8 – 13,2009
09121,Normative Multi-Agent Systems,March 15 – 20,2009
09131,Service Level Agreements in Grids,March 22 – 27,2009
09141,Web Application Security,March 29 – April 3,2009
09142,Preventing the Brainware Crisis,March 31 – April 3,2009
09161,Generalization of spatial information,April 13 – 17,2009
09162,Architecture and Design of the Future Internet,April 14 – 17,2009
09171,"Adaptive, Output Sensitive, Online and Parameterized Algorithms",April 19 – 24,2009
09181,Sampling-based Optimization in the Presence of Uncertainty,April 26 – 30,2009
09191,Fault Tolerance in High-Performance Computing and Grids,May 3 – 8,2009
09192,From Quality of Service to Quality of Experience,May 5 – 8,2009
09201,Self-Healing and Self-Adaptive Systems,May 10 – 15,2009
